"","Word","I_Zscore","I_Mean_Accuracy","I_NMG_Zscore","I_NMG_Mean_Accuracy"
"38174","ballroom",-0.58,0.97,-0.44,0.96
"38175","balls",-0.49,1,-0.52,1
"38176","ball's",-0.34,0.94,-0.55,1
"38177","ballyhoo",0.51,0.24,0.52,0.92
"38178","balm",-0.5,0.86,-0.35,0.96
"38179","balmy",0.18,0.63,-0.27,0.96
"38180","balsam",0.18,0.69,0.18,0.7
"38181","balsams",0.75,0.36,0.54,0.7
"38182","baltic",-0.08,0.97,-0.21,1
"38183","baltimore",-0.08,1,-0.42,1
"38184","baltimore's",0.05,1,-0.36,1
"38185","bambi",-0.25,1,-0.44,1
"38186","bambino",0.42,0.63,-0.15,0.96
"38187","bamboo",-0.37,1,-0.54,1
"38188","bamboozle",0.31,0.84,0.13,0.96
"38189","ban",-0.48,0.97,-0.79,1
"38190","banal",-0.22,0.29,0.26,0.6
"38191","banality",1.01,0.4,1.04,0.71
"38192","banana",-0.56,1,-0.58,1
"38193","bananas",-0.4,1,-0.61,1
"38194","band",-0.45,1,-0.6,1
"38195","bandage",-0.07,0.97,-0.32,0.96
"38196","bandaged",-0.1,0.91,0.03,1
"38197","bandages",-0.17,0.91,-0.11,0.92
"38198","bandaging",0.1,0.75,0.49,0.92
"38199","bandanna",0.29,0.59,0.5,1
"38200","banded",-0.19,0.91,-0.44,1
"38201","banding",-0.03,0.91,-0.65,1
"38202","array",-0.37,0.94,-0.47,0.96
"38203","arrears",0.05,0.42,-0.1,0.46
"38204","arrest",-0.6,1,-0.5,0.96
"38205","arrested",-0.39,1,-0.75,1
"38206","arresting",-0.29,0.94,-0.61,1
"38207","arrests",-0.47,1,-0.59,1
"38208","arrival",-0.6,0.94,-0.61,1
"38209","arrivals",-0.46,0.91,-0.55,1
"38210","arrive",-0.69,0.94,-0.6,1
"38211","arrived",-0.39,1,-0.67,1
"38212","arrives",-0.44,0.97,-0.43,1
"38213","arriving",-0.3,1,-0.58,1
"38214","arrogance",-0.29,0.97,0.09,1
"38215","arrogant",-0.18,0.94,-0.31,1
"38216","arrogantly",0.36,0.88,0.2,0.96
"38217","arrow",-0.52,0.97,-0.56,1
"38218","arrowed",-0.03,0.82,-0.06,0.93
"38219","arrowhead",-0.32,0.97,-0.3,1
"38220","arrowheads",-0.2,1,-0.41,1
"38221","arrowroot",0.92,0.32,0.21,0.86
"38222","arrows",-0.61,1,-0.59,1
"38223","arroyo",0.86,0.12,0.7,0.29
"38224","arsenal",0.06,1,-0.23,1
"38225","arsenic",0.13,0.97,0.03,0.96
"38226","arson",-0.32,0.91,-0.5,1
"38227","art",-0.84,0.91,-0.68,0.96
"38228","artemis",0.15,0.79,0.64,0.81
"38229","arterial",0.55,0.67,0.33,0.88
"38230","arteries",0.3,0.88,-0.02,1
"38231","arteriolosclerosis",1.72,0.27,1.41,0.5
"38232","artery",0.08,0.85,-0.15,0.93
"38233","artery's",0.42,0.81,0.3,0.96
"38234","artful",-0.14,0.89,-0.52,0.96
"38235","artfully",0.01,0.94,-0.31,1
"38236","artfulness",0.46,0.83,0.08,1
"38237","arteriosclerosis",1.74,0.4,1.85,0.45
"38238","arthritic",0.3,0.68,0.27,0.86
"38239","arthritis",0.33,1,-0.01,1
"38240","arthur",-0.62,0.97,-0.52,0.96
"38241","arthur's",-0.31,0.97,-0.43,1
"38242","artichoke",-0.22,0.82,-0.24,0.93
"38243","article",-0.55,1,-0.42,1
"38244","articles",-0.39,0.91,-0.34,1
"38245","articulate",0.16,1,-0.08,1
"38246","articulated",0.15,0.97,0.02,0.96
"38247","articulation",0.3,0.97,0.11,1
"38248","articulations",0.46,0.97,0.47,0.85
"38249","artifact",0.06,1,-0.25,1
"38250","artifacts",-0.25,0.94,-0.25,0.96
"38251","artificial",-0.17,0.94,-0.36,1
"38252","artificially",0.1,0.97,-0.12,1
"38253","artillerist",1.89,0.42,1.27,0.78
"38254","artillery",-0.13,0.94,-0.22,0.96
"38255","artisan",0.1,0.85,-0.02,0.89
"38256","artisans",0.1,0.88,0.2,0.96
"38257","artist",-0.67,1,-0.64,1
"38258","artiste",1.04,0.21,0.65,0.6
"38259","artistic",-0.28,0.94,-0.38,0.96
"38260","artistically",1,0.84,0.25,0.96
"38261","artistry",0.01,0.88,0.04,1
"38262","artists",-0.45,0.97,-0.41,1
"38263","artist's",-0.38,1,-0.44,0.96
"38264","artless",-0.21,0.91,-0.44,1
"38265","arts",-0.81,0.94,-0.85,1
"38266","art's",-0.49,1,-0.73,1
"38267","arty",0.45,0.47,-0.47,0.93
"38268","aryan",0.17,0.78,0.35,0.83
"38269","as",-0.47,0.94,-0.74,0.96
"38270","asbestos",0.51,0.68,0.61,0.79
"38271","ascend",-0.19,0.88,-0.08,1
"38272","ascendancy",0.73,0.74,1.01,0.91
"38273","ascended",0.07,1,-0.02,0.96
"38274","ascendent",0.31,0.79,0.55,0.88
"38275","ascending",-0.07,1,-0.16,1
"38276","ascension",0.21,0.67,0.34,0.83
"38277","ascent",-0.08,0.82,0.25,0.96
"38278","ascertain",0.3,0.94,0.59,0.93
"38279","ascertainable",0.96,0.76,0.89,0.75
"38280","ascertained",0.51,0.76,0.42,0.85
"38281","ascetic",0.46,0.72,0.58,0.77
"38282","asceticism",0.6,0.5,0.84,0.47
"38283","ascribe",0.04,0.88,-0.06,0.96
"38284","ascribed",0.38,0.79,0.25,1
"38285","ascribes",0.35,0.51,0.03,1
"38286","ascription",0.79,0.36,0.28,0.92
"38287","aseptic",0.51,0.6,1,0.86
"38288","asexual",0.19,0.85,-0.05,0.93
"38289","ash",-0.6,1,-0.54,1
"38290","ashamed",-0.47,0.91,-0.42,1
"38291","ashbin",0.6,0.33,0.13,1
"38292","ashcan",0.71,0.16,0.26,0.81
"38293","ashen",-0.2,0.69,-0.43,0.96
"38294","ashes",-0.55,0.94,-0.65,1
"38295","ashley",-0.48,1,-0.61,1
"38296","ashore",0.02,0.85,-0.02,0.96
"38297","ashtray",-0.23,0.94,-0.19,1
"38298","ashtrays",0.23,0.85,-0.07,0.96
"38299","ashy",0.26,0.85,-0.33,1
"38300","asia",-0.8,0.97,-0.56,1
"38301","asian",-0.52,0.97,-0.45,1
"38302","asians",-0.41,0.97,-0.39,1
"38303","asiatic",0.68,0.45,1.05,0.6
"38304","aside",-0.37,1,-0.41,1
"38305","asimov's",0.48,0.42,0.52,0.7
"38306","asinine",0.77,0.29,0.57,0.83
"38307","ask",-0.77,0.94,-0.79,1
"38308","askance",-0.33,0.03,0.56,0.67
"38309","asked",-0.71,0.97,-0.67,1
"38310","askew",-0.07,0.58,-0.22,1
"38311","asking",-0.76,1,-0.7,1
"38312","asks",-0.54,1,-0.69,0.96
"38313","aslant",-0.21,0.19,0.79,0.61
"38314","asleep",-0.44,1,-0.39,1
"38315","asocial",0.65,0.41,0.86,0.88
"38316","asp",0.22,0.41,-0.48,0.96
"38317","asparagus",-0.01,0.97,0.34,0.96
"38318","aspect",-0.19,0.91,-0.42,1
"38319","aspects",-0.3,1,-0.5,1
"38320","aspen",-0.11,0.91,-0.49,0.96
"38321","asphalt",-0.16,0.97,-0.21,1
"38322","asphyxiate",0.99,0.59,1.39,0.79
"38323","asphyxiation",0.84,0.56,1.16,0.64
"38324","aspirate",0.51,0.88,0.34,0.77
"38325","aspiration",0.06,0.91,-0.22,1
"38326","aspirations",-0.05,1,-0.19,1
"38327","aspire",-0.47,0.94,-0.33,1
"38328","aspired",-0.45,0.94,-0.19,1
"38329","aspires",-0.2,0.97,-0.02,0.96
"38330","aspirin",-0.32,0.97,-0.2,1
"38331","aspiring",-0.2,1,0.04,1
"38332","ass",-0.57,1,-0.65,1
"38333","assail",0.08,0.66,-0.01,0.82
"38334","assailant",0.28,0.91,0.13,0.96
"38335","assailants",0.34,0.94,0.22,0.96
"38336","assailed",0.03,0.81,0.13,0.89
"38337","assailing",0.17,0.82,-0.03,1
"38338","assassin",0.03,0.94,-0.09,1
"38339","assassinate",0.3,0.91,0.34,1
"38340","assassinated",0.29,1,0.32,1
"38341","assassination",0.47,0.94,0.09,1
"38342","assassins",-0.11,0.85,0.06,1
"38343","assault",-0.47,0.94,-0.45,1
"38344","assaulted",-0.3,0.88,-0.28,1
"38345","assaulting",-0.2,1,-0.21,1
"38346","assaults",-0.35,0.97,-0.28,1
"38347","assay",0.37,0.44,0.29,0.79
"38348","assayed",0.6,0.28,-0.2,0.69
"38349","assaying",0.48,0.31,0.25,0.84
"38350","assemblage",0.57,0.58,0.18,0.81
"38351","assemblages",0.82,0.22,0.24,0.71
"38352","assemble",-0.52,0.97,-0.58,1
"38353","assembled",-0.37,1,-0.45,1
"38354","assemblies",0.22,0.82,0.08,1
"38355","assembling",-0.22,1,-0.38,1
"38356","assembly",-0.59,0.97,-0.11,1
"38357","assemblyman",1.05,0.75,0.39,0.92
"38358","assent",-0.2,0.88,-0.11,0.85
"38359","assented",0.38,0.78,-0.09,1
"38360","assert",-0.49,0.94,-0.24,0.97
"38361","asserted",-0.23,0.97,-0.29,0.96
"38362","asserting",-0.05,0.97,-0.22,1
"38363","assertion",-0.17,0.94,0.25,0.84
"38364","assertions",-0.07,0.97,-0.07,0.89
"38365","assertive",-0.13,0.97,-0.25,1
"38366","assertiveness",0.36,0.97,0.35,1
"38367","asserts",-0.47,1,-0.36,1
"38368","asses",0.06,0.83,-0.3,0.93
"38369","assess",-0.18,0.94,-0.15,0.85
"38370","assessed",0.08,0.79,-0.07,1
"38371","assessing",-0.26,1,0.12,1
"38372","assessment",-0.13,0.97,-0.05,0.96
"38373","assessments",-0.11,0.91,0.21,1
"38374","assessor",0.26,0.75,0.23,0.92
"38375","assessors",0.5,0.67,0.45,0.89
"38376","assessor's",0.64,0.57,0.53,0.93
"38377","asset",-0.3,0.94,-0.4,0.85
"38378","assets",-0.35,0.91,-0.39,0.93
"38379","asshole",-0.26,0.94,-0.23,1
"38380","assiduous",0.36,0.55,0.64,0.76
"38381","assign",-0.41,0.97,-0.6,1
"38382","assignation",-0.08,0.7,0.99,0.38
"38383","assigned",-0.54,1,-0.35,1
"38384","assignee",1.05,0.35,0.98,0.8
"38385","assigning",-0.13,0.91,-0.16,0.96
"38386","assignment",-0.35,0.94,-0.19,1
"38387","assignments",-0.22,0.94,-0.18,1
"38388","assigns",-0.1,0.94,-0.31,1
"38389","assimilate",0.08,0.91,0.2,0.93
"38390","assimilated",-0.02,0.97,0.14,0.96
"38391","assimilation",0.17,0.94,0.25,0.96
"38392","assist",-0.44,0.97,-0.37,0.96
"38393","assistance",-0.44,0.97,-0.33,1
"38394","assistant",-0.41,0.97,-0.39,1
"38395","assistants",-0.27,0.97,-0.2,1
"38396","assisted",-0.18,0.94,-0.09,1
"38397","assisting",-0.01,1,-0.12,1
"38398","assists",-0.63,1,-0.28,1
"38399","associate",-0.45,0.97,-0.15,1
"38400","associated",-0.1,1,-0.4,1
"38401","associates",-0.48,0.97,-0.27,0.96
"38402","associating",0.04,0.97,0.02,0.96
"38403","association's",0.56,0.94,-0.33,0.96
"38404","associatively",0.77,0.9,0.36,0.92
"38405","assonance",0.33,0.67,0.55,0.82
"38406","assort",-0.27,0.91,-0.39,0.96
"38407","association",-0.17,0.97,-0.31,1
"38408","associations",-0.19,0.97,-0.07,0.96
"38409","assorted",-0.36,1,-0.34,1
"38410","assortment",-0.17,0.97,-0.05,0.96
"38411","assuage",-0.14,0.61,0.94,0.68
"38412","assuaged",0.49,0.45,0.63,0.63
"38413","assume",-0.71,0.94,-0.53,1
"38414","assumed",-0.57,0.97,-0.63,0.96
"38415","assumes",-0.47,0.97,-0.5,1
"38416","assuming",-0.37,0.97,-0.53,1
"38417","assumption",-0.34,0.91,-0.43,1
"38418","assumptions",-0.32,1,-0.17,0.97
"38419","assurance",-0.38,0.94,-0.09,1
"38420","assurances",-0.29,1,0.25,1
"38421","assure",-0.31,0.97,-0.34,1
"38422","assured",-0.5,0.97,-0.18,1
"38423","assuredly",0.22,0.91,0.3,0.92
"38424","assures",-0.15,0.97,-0.38,1
"38425","assuring",-0.32,0.91,-0.05,1
"38426","assyrian",0.59,0.63,0.72,0.89
"38427","aster",0.41,0.55,-0.41,0.93
"38428","asteria",0.37,0.53,0.69,0.63
"38429","asterisk",0.13,0.88,-0.09,0.85
"38430","asterisks",0.3,0.94,-0.15,0.89
"38431","asteroid",-0.16,1,-0.33,1
"38432","asteroidal",0.73,0.58,0.5,0.64
"38433","asthma",-0.15,1,-0.39,0.96
"38434","asthmatic",0.37,0.6,0.85,0.89
"38435","astigmatism",0.4,0.57,1.14,0.75
"38436","astonish",-0.17,0.94,-0.31,1
"38437","astonished",-0.15,0.94,-0.02,1
"38438","astonishing",-0.12,1,-0.15,1
"38439","astonishingly",0.52,0.93,0.25,0.92
"38440","astonishment",0.07,0.94,0.39,0.93
"38441","astound",-0.07,0.88,-0.05,1
"38442","astounded",-0.04,0.91,-0.12,1
"38443","astounding",-0.08,0.94,-0.08,0.96
"38444","astral",0.23,0.45,0.17,0.64
"38445","astray",-0.17,0.85,-0.29,0.96
"38446","astride",0.32,0.69,0.15,0.96
"38447","astringency",1,0.61,0.99,0.71
"38448","astringent",0.02,0.79,0.39,0.85
"38449","astrodome",0.78,0.71,0.12,1
"38450","astrolabe",0.79,0.27,0.94,0.44
"38451","astrology",-0.19,1,0.04,1
"38452","astronaut",0.15,0.94,-0.13,1
"38453","astronomer",0.41,0.97,0.13,0.96
"38454","astronomical",0.63,0.93,0.14,0.88
"38455","astronomically",0.42,0.94,0.32,0.81
"38456","astronomy",-0.29,1,-0.05,1
"38457","astrophysics",0.67,0.82,0.81,0.91
"38458","astute",0.31,0.76,-0.11,0.81
"38459","astuteness",0.77,0.42,1.05,0.75
"38460","asunder",0.27,0.58,-0.14,0.73
"38461","asylum",-0.06,0.88,0.07,1
"38462","asymmetric",0.38,0.91,0.72,0.76
"38463","asymmetrical",0.56,0.94,0.95,0.86
"38464","asymmetrically",0.58,0.81,0.92,0.85
"38465","asymmetry",0.48,0.88,0.81,0.96
"38466","asymptotic",0.72,0.61,1.49,0.57
"38467","at",-0.51,0.91,-0.67,1
"38468","ate",-0.52,1,-0.67,1
"38469","asymptotically",0.81,0.42,1.65,0.47
"38470","athabascan",1,0.03,1.47,0.31
"38471","atheism",0.05,0.76,0.44,0.96
"38472","atheist",-0.07,0.84,0.01,1
"38473","atheistic",0.27,1,1.2,0.65
"38474","atheists",0.14,0.76,0.06,0.92
"38475","athena",-0.05,0.94,0.06,0.93
"38476","athenian",0.15,0.91,0.62,0.88
"38477","athenians",0.3,0.97,0.66,0.77
"38478","athens",-0.33,0.94,-0.27,1
"38479","athlete",-0.46,0.91,-0.51,1
"38480","athletes",-0.39,0.97,-0.35,1
"38481","athlete's",-0.4,1,-0.5,1
"38482","athletic",-0.29,1,-0.4,1
"38483","athleticism",0.51,0.84,0.55,0.88
"38484","athletics",-0.4,1,-0.26,1
"38485","atlanta",-0.43,0.97,-0.52,1
"38486","atlanta's",-0.29,1,-0.32,1
"38487","atlantic",-0.35,1,-0.42,1
"38488","atlantis",-0.17,0.94,0.04,1
"38489","atlas",-0.49,1,-0.43,1
"38490","atmosphere",-0.38,1,-0.4,1
"38491","atmospheres",0.14,0.94,-0.36,1
"38492","atmospheric",0.07,0.94,0.18,0.96
"38493","atoll",0.64,0.23,-0.14,0.93
"38494","atom",-0.5,0.97,-0.15,0.96
"38495","atomic",-0.26,0.97,-0.18,1
"38496","atomize",-0.04,0.94,0.16,0.7
"38497","atoms",-0.67,0.94,-0.53,1
"38498","atonal",0.71,0.29,0.82,0.64
"38499","atonally",0.64,0.31,0.71,0.61
"38500","atone",-0.06,0.64,-0.35,1
"38501","atonement",0.11,0.55,0,0.92
"38502","atop",0.05,0.79,-0.39,0.96
"38503","atrocious",0.13,0.7,0.24,0.96
"38504","atrociously",0.67,0.7,0.63,0.74
"38505","atrocities",0.49,0.65,1.01,0.95
"38506","atrocity",0.43,0.78,0.47,0.96
"38507","atrophied",0.83,0.45,0.47,0.71
"38508","atrophy",0.35,0.87,0.45,0.9
"38509","attach",-0.49,0.94,-0.65,1
"38510","attache",-0.12,0.5,0.34,0.6
"38511","attached",-0.49,0.97,-0.75,1
"38512","attaches",-0.27,1,-0.44,0.89
"38513","attaching",-0.25,1,-0.49,0.96
"38514","attachment",-0.47,0.97,-0.28,1
"38515","attachments",-0.3,1,-0.32,0.96
"38516","attack",-0.75,1,-0.65,1
"38517","attacked",-0.41,1,-0.68,1
"38518","attacker",-0.5,1,-0.56,1
"38519","attackers",-0.34,1,-0.47,1
"38520","attacker's",-0.19,1,-0.45,1
"38521","attacking",-0.59,0.97,-0.53,1
"38522","attacks",-0.76,0.88,-0.66,1
"38523","attain",-0.43,0.97,-0.66,1
"38524","attainable",-0.14,0.91,0.08,1
"38525","attained",-0.42,1,-0.64,0.96
"38526","attaining",-0.34,0.97,-0.29,1
"38527","attainment",-0.01,0.94,-0.15,0.96
"38528","attainments",0.32,0.81,0.27,0.96
"38529","attains",-0.26,0.94,-0.21,0.96
"38530","attempt",-0.61,1,-0.52,1
"38531","attempted",-0.43,1,-0.45,1
"38532","attempting",-0.28,1,-0.37,0.96
"38533","attempts",-0.54,1,-0.55,1
"38534","attend",-0.52,0.97,-0.69,1
"38535","attendance",-0.4,1,-0.28,1
"38536","attendant",-0.21,0.94,-0.37,1
"38537","attendants",-0.3,0.97,-0.16,1
"38538","attended",-0.23,1,-0.38,1
"38539","attending",-0.6,0.97,-0.54,1
"38540","attends",-0.67,0.94,-0.56,0.93
"38541","attention",-0.68,1,-0.65,1
"38542","attentions",-0.19,1,-0.41,1
"38543","attentive",-0.13,1,-0.19,0.96
"38544","attentively",0.23,0.91,0.03,1
"38545","attenuate",0.51,0.37,0.62,0.55
"38546","attest",-0.27,0.72,-0.42,0.93
"38547","attested",-0.05,0.82,-0.35,1
"38548","attesting",0.46,0.74,0.12,1
"38549","attic",-0.27,0.94,-0.56,1
"38550","attire",-0.31,0.94,-0.51,1
"38551","attired",-0.09,0.85,-0.36,0.96
"38552","attitude",-0.63,1,-0.37,1
"38553","attitudes",-0.49,0.97,-0.51,1
"38554","attorney",-0.58,1,-0.39,1
"38555","attorneys",-0.26,1,-0.27,0.96
"38556","attorney's",-0.37,0.91,-0.37,1
"38557","attract",-0.4,0.97,-0.38,1
"38558","attracted",-0.28,0.97,-0.46,1
"38559","attracting",-0.18,0.97,-0.36,1
"38560","attraction",-0.26,1,-0.28,1
"38561","attractions",-0.42,1,-0.16,1
"38562","attractive",-0.36,0.97,-0.49,1
"38563","attractively",0.17,1,-0.03,0.96
"38564","attracts",-0.47,1,0.03,1
"38565","attributable",0.62,0.86,0.95,0.5
"38566","attribute",-0.3,1,-0.08,0.96
"38567","attributed",-0.12,0.97,-0.08,0.93
"38568","attributes",-0.16,0.97,-0.13,0.96
"38569","attributing",0.13,0.97,0.51,0.96
"38570","attribution",-0.11,0.94,0.08,0.88
"38571","attrition",0.09,0.57,0.29,0.85
"38572","attuned",0.41,0.71,-0.4,0.85
"38573","atypical",0.13,0.82,0.49,0.96
"38574","auburn",0.16,0.94,-0.25,0.96
"38575","auction",-0.36,0.91,-0.39,1
"38576","auctioneer",0.44,0.97,-0.07,0.96
"38577","auctioneer's",0.44,0.91,0.04,1
"38578","audacious",0.07,0.71,0.48,0.93
"38579","audacity",0.49,0.89,0.12,0.89
"38580","audible",-0.06,0.94,-0.41,0.96
"38581","audibly",0.21,0.88,-0.15,0.81
"38582","audience",-0.49,1,-0.36,1
"38583","audiences",-0.39,1,-0.28,1
"38584","audio",-0.61,0.94,-0.47,1
"38585","audiovisual",0.68,0.83,0.53,0.96
"38586","audit",-0.32,0.94,-0.51,1
"38587","antler",-0.1,0.91,-0.22,1
"38588","antoine",0.39,0.57,0.47,0.75
"38589","antoine's",0.24,0.89,0.34,0.92
"38590","antoinette",0.73,0.77,0.73,0.92
"38591","antonio",-0.28,1,0.3,0.96
"38592","antonym",0.17,0.89,0.42,0.86
"38593","ants",-0.77,1,-0.83,1
"38594","anus",-0.03,0.79,-0.13,0.96
"38595","anvil",-0.09,0.64,-0.29,0.93
"38596","anxieties",0.26,0.94,0.12,1
"38597","anxiety",-0.59,0.97,-0.18,1
"38598","anxious",-0.68,1,-0.4,0.96
"38599","anxiously",-0.08,0.97,0.01,1
"38600","any",-0.56,0.94,-0.59,0.93
"38601","anybody",-0.39,1,-0.34,1
"38602","anybody's",-0.43,0.94,-0.46,1
"38603","anyhow",0.23,1,-0.26,0.93
"38604","anymore",-0.37,0.97,-0.33,1
"38605","anyone",-0.36,0.94,-0.53,0.96
"38606","anyone's",-0.17,0.94,-0.2,0.96
"38607","anyplace",0.03,0.91,0.15,1
"38608","anything",-0.43,0.97,-0.63,1
"38609","anyway",-0.58,0.97,-0.28,1
"38610","anyways",-0.48,1,-0.38,1
"38611","anywhere",-0.41,0.97,-0.44,1
"38612","aorta",0.25,0.61,0.05,0.89
"38613","apache",0.02,0.94,0.16,0.92
"38614","apaches",0.29,0.76,0.48,0.85
"38615","apart",-0.62,0.97,-0.55,1
"38616","apartheid",0.31,0.74,0.93,0.84
"38617","apartment",-0.52,0.97,-0.52,1
"38618","apartments",-0.34,1,-0.41,1
"38619","apathetic",0.11,0.85,0.32,0.93
"38620","apathy",-0.38,0.94,-0.31,0.96
"38621","ape",-0.6,1,-0.63,1
"38622","aperitif",0.9,0.18,1.29,0.31
"38623","aperture",0.06,0.53,0.47,0.78
"38624","apex",-0.27,0.73,-0.38,0.96
"38625","aphasia",0.4,0.48,0.06,0.72
"38626","aphid",0.32,0.27,0.43,0.56
"38627","aphorism",0.09,0.56,0.66,0.7
"38628","aphrodisiac",0.13,0.67,0.73,0.87
"38629","aphrodite",0.5,0.89,0.13,0.96
"38630","apiary",1.17,0.06,1.05,0.38
"38631","apiculture",0.48,0.16,1.56,0.63
"38632","apiece",0.21,0.77,-0.14,1
"38633","apocalypse",0.62,0.78,0.43,0.82
"38634","apogee",0.66,0.32,0.82,0.38
"38635","apollo",-0.56,1,-0.42,0.96
"38636","apollonian",0.51,0.36,1.41,0.48
"38637","apocalyptic",0.61,0.7,1.1,0.78
"38638","apollo's",-0.47,0.97,-0.42,1
"38639","apologetic",0.18,0.97,0.28,0.93
"38640","apologetically",1.09,0.93,0.52,0.96
"38641","apologies",-0.2,1,-0.45,0.93
"38642","apologist",0.02,0.74,0.19,0.93
"38643","apologize",-0.41,0.97,-0.43,1
"38644","apologized",-0.36,0.94,-0.26,1
"38645","apology",-0.45,1,-0.29,1
"38646","apoplexy",0.3,0.09,1.33,0.21
"38647","apostle",-0.31,0.91,-0.18,0.96
"38648","apostles",-0.08,0.82,-0.21,0.96
"38649","apostolic",0.4,0.71,1.45,0.59
"38650","apostrophe",0.36,0.91,0.68,0.88
"38651","apothecary",0.4,0.82,1.02,0.57
"38652","appal",0.8,0.41,-0.12,0.85
"38653","appalachian",0.14,0.94,0.03,0.92
"38654","appalachians",0.28,0.88,0.19,1
"38655","appalled",-0.03,0.89,-0.52,1
"38656","appalling",-0.14,0.88,-0.27,0.96
"38657","appallingly",0.51,0.68,0.04,1
"38658","apparatus",0.01,0.94,0.14,0.89
"38659","apparel",-0.37,0.97,-0.24,1
"38660","appareled",0.86,0.76,-0.03,0.92
"38661","apparency",0.04,0.88,0.22,0.93
"38662","apparent",-0.49,0.97,-0.39,1
"38663","apparently",-0.35,1,-0.4,1
"38664","apparition",0.38,0.66,0.21,0.92
"38665","appeal",-0.74,0.97,-0.52,1
"38666","appealed",-0.29,0.91,-0.38,1
"38667","appealing",-0.56,0.94,-0.46,1
"38668","appeals",-0.32,0.97,-0.32,1
"38669","appear",-0.67,0.97,-0.62,1
"38670","appearance",-0.46,0.97,-0.47,1
"38671","appearances",-0.17,0.94,-0.29,1
"38672","appeared",-0.5,0.97,-0.47,1
"38673","appearing",-0.39,0.94,-0.41,1
"38674","appears",-0.66,1,-0.75,1
"38675","appease",-0.28,0.88,-0.52,1
"38676","appeased",-0.16,0.94,-0.29,1
"38677","appeasement",0.32,0.74,0.08,1
"38678","appeasing",0.03,0.91,-0.4,1
"38679","appellant",0.58,0.48,0.07,0.73
"38680","appellate",0.62,0.7,0.58,0.7
"38681","append",-0.2,0.86,-0.35,1
"38682","appendage",0.15,0.85,0.07,1
"38683","appendages",0.17,0.97,0.15,0.93
"38684","appendectomy",0.86,0.63,1.09,0.68
"38685","appended",0.09,0.81,-0.03,0.85
"38686","appendicitis",0.73,0.65,0.64,0.85
"38687","appendix",-0.31,1,-0.48,1
"38688","appendixes",-0.12,0.85,0.22,0.79
"38689","appetite",-0.38,1,-0.44,1
"38690","appetites",-0.05,0.97,-0.2,1
"38691","appetizer",-0.37,1,-0.24,1
"38692","appetizing",0.09,0.88,0.08,1
"38693","applaud",-0.22,0.94,-0.49,1
"38694","applauded",-0.1,1,-0.37,1
"38695","applauding",-0.22,0.97,-0.39,0.96
"38696","applause",-0.51,0.97,-0.5,1
"38697","apple",-0.83,0.97,-0.58,1
"38698","apples",-0.66,1,-0.72,1
"38699","appliance",-0.4,1,-0.5,1
"38700","appliances",-0.36,0.97,-0.33,1
"38701","applicable",-0.17,1,0,1
"38702","applicant",-0.47,0.97,-0.48,0.93
"38703","applicants",-0.43,0.91,-0.42,1
"38704","application",-0.32,0.97,-0.49,1
"38705","applications",-0.25,0.97,-0.35,0.96
"38706","applicator",-0.04,0.94,-0.27,1
"38707","applied",-0.5,0.94,-0.56,1
"38708","applies",-0.32,0.88,-0.25,1
"38709","apply",-0.63,1,-0.42,1
"38710","applying",-0.48,1,-0.51,1
"38711","appoint",-0.06,0.88,-0.47,1
"38712","appointed",-0.44,1,-0.47,1
"38713","appointee",0.34,0.78,0.05,1
"38714","appointees",0.22,0.79,-0.25,0.85
"38715","appointing",-0.31,0.97,-0.28,1
"38716","appointment",-0.31,1,-0.36,1
"38717","appointments",-0.29,1,-0.33,1
"38718","appoints",0.17,0.97,-0.13,0.96
"38719","apportion",0.16,0.4,0.7,0.74
"38720","apportioned",0.24,0.56,0.44,0.8
"38721","apportionment",0.9,0.32,1.33,0.68
"38722","apportionments",1.51,0.36,1.5,0.61
"38723","appraisal",-0.08,0.94,-0.16,1
"38724","appraisals",0.2,0.88,-0.31,0.96
"38725","appraise",-0.32,0.97,-0.38,0.96
"38726","appraised",-0.3,1,-0.27,1
"38727","appraisers",0.09,0.85,0.11,1
"38728","appraising",-0.15,0.94,-0.14,1
"38729","appraisingly",0.66,0.88,0.08,0.96
"38730","appreciable",0.2,0.97,-0.08,0.96
"38731","appreciably",0.25,0.94,0.34,0.88
"38732","appreciate",-0.15,0.94,-0.33,1
"38733","appreciated",-0.21,0.97,-0.3,1
"38734","appreciates",0.06,0.94,0.09,0.96
"38735","appreciating",0.14,1,-0.11,1
"38736","appreciation",0,0.94,-0.18,0.96
"38737","appreciations",0.36,0.94,-0.05,1
"38738","apprehend",-0.07,0.9,-0.37,1
"38739","apprehended",0.02,0.94,-0.25,0.96
"38740","appreciative",0.19,0.97,0.34,0.96
"38741","appreciatively",0.76,0.94,0.29,0.89
"38742","apprehension",0,0.97,-0.2,0.96
"38743","apprehensions",0.37,0.94,-0.04,1
"38744","apprehensive",0.23,0.97,-0.19,1
"38745","apprehensively",0.17,0.81,0.09,0.93
"38746","apprentice",-0.12,0.94,-0.14,1
"38747","apprenticed",0.32,0.85,0.5,0.83
"38748","apprentices",0.33,0.97,0.24,1
"38749","apprenticeship",0.67,0.86,0.51,0.93
"38750","apprise",-0.2,0.78,0.01,0.86
"38751","approach",-0.5,0.97,-0.23,0.96
"38752","approachable",0.25,0.91,-0.11,1
"38753","approached",-0.28,1,-0.54,1
"38754","approaches",-0.44,0.97,-0.61,1
