"","Word","I_Zscore","I_Mean_Accuracy","I_NMG_Zscore","I_NMG_Mean_Accuracy"
"283","xenophobic",0.86,0.65,0.9,0.91
"284","xerox",-0.17,0.85,0.17,1
"285","xylophone",0.38,0.78,0.37,0.96
"286","xylophones",0.97,0.69,0.61,1
"287","yacht",-0.02,0.76,-0.38,0.96
"288","yachters",0.84,0.53,0.1,0.79
"289","yachting",0.22,0.85,-0.02,0.85
"290","yachts",0.26,0.73,-0.12,1
"291","yachtsman",0.58,0.67,0.31,0.96
"292","yachtsmen",0.95,0.59,0.34,0.96
"293","yahoo",-0.43,0.97,-0.53,0.96
"294","yak",-0.14,0.59,-0.67,0.96
"295","yaks",0.4,0.52,-0.33,1
"296","yale",-0.57,0.97,-0.69,1
"297","yale's",-0.51,0.97,-0.45,1
"298","yalta",0.09,0.32,-0.13,0.82
"299","yam",-0.12,0.79,-0.47,1
"300","yammer",0.27,0.18,-0.11,0.92
"301","yank",-0.14,0.94,-0.61,1
"302","yanked",-0.21,0.85,-0.46,1
"303","yankee",-0.6,0.97,-0.56,1
"304","yankees",-0.41,0.94,-0.52,1
"305","yanking",0.13,0.85,-0.45,1
"306","yanks",-0.09,0.91,-0.56,1
"307","yap",0.13,0.55,-0.39,1
"308","yapping",0.32,0.74,-0.36,1
"309","yard",-0.58,1,-0.71,1
"310","yardage",0.9,0.47,0.03,0.93
"311","yards",-0.52,0.97,-0.51,1
"312","yardstick",-0.3,0.97,-0.23,1
"313","yarn",-0.49,0.94,-0.58,1
"314","yarns",-0.43,0.89,-0.57,0.96
"315","yarrow",0.02,0.11,-0.23,0.85
"316","yawl",0.56,0.26,-0.29,0.93
"317","yawn",-0.42,0.94,-0.57,1
"318","yawning",-0.06,0.94,-0.5,1
"319","yaws",0.41,0.21,-0.39,0.76
"320","ye",0.58,0.26,0.25,0.71
"321","yea",0.47,0.67,-0.25,0.93
"322","yeah",-0.4,0.97,-0.59,1
"323","year",-0.76,0.91,-0.54,1
"324","yearbook",-0.59,1,-0.52,1
"325","yearling",0,0.79,-0.1,1
"326","yearlong",-0.07,1,-0.51,1
"327","yearly",-0.46,1,-0.37,1
